,id,breed,classification,sex,watch_tv,iq,hours_watched
67,A578D2,Border Collie,Brightest Dogs,Female,No,198,0
68,30942,Border Collie,Brightest Dogs,Female,No,214,0
69,C83C4C,Border Collie,Brightest Dogs,Female,No,177,0
70,3E0D81,Border Collie,Brightest Dogs,Male,No,224,0
71,BA3B7A,Poodle,Brightest Dogs,Female,No,202,0
72,8E6E85,Poodle,Brightest Dogs,Female,Yes,218,146.2260871
73,4FB9EE,Poodle,Brightest Dogs,Female,Yes,209,137.996981
74,6C3201,Poodle,Brightest Dogs,Female,No,220,0
75,00D4FC,Poodle,Brightest Dogs,Female,Yes,214,142.1009812
76,20F2D3,Poodle,Brightest Dogs,Female,No,195,0
77,1923FF,Poodle,Brightest Dogs,Male,Yes,205,161.9226063
78,6314BB,Poodle,Brightest Dogs,Male,No,211,0
79,3.28E+08,Poodle,Brightest Dogs,Male,Yes,191,131.5547757
80,5E81C0,Poodle,Brightest Dogs,Male,No,210,0
81,CF8810,Poodle,Brightest Dogs,Female,Yes,193,128.3379131
82,59E848,Poodle,Brightest Dogs,Female,No,193,0
83,D466B8,Poodle,Brightest Dogs,Female,Yes,245,147.6927625
84,8C2F1D,Poodle,Brightest Dogs,Female,No,202,0
85,ABBB98,Poodle,Brightest Dogs,Male,Yes,220,151.7446745
86,5A7C4E,Poodle,Brightest Dogs,Male,No,201,0
87,4022A5,Poodle,Brightest Dogs,Female,Yes,216,136.4767331
88,997EAD,Poodle,Brightest Dogs,Female,Yes,170,113.5743375
89,D82479,Poodle,Brightest Dogs,Female,No,181,0
90,29B502,Poodle,Brightest Dogs,Female,No,193,0
91,82F7F6,Poodle,Brightest Dogs,Female,Yes,201,134.4964086
92,A5D4C9,Poodle,Brightest Dogs,Female,Yes,231,147.8957723
93,5CDAE1,Poodle,Brightest Dogs,Female,Yes,212,139.8423453
94,46F59D,Poodle,Brightest Dogs,Male,No,199,0
95,17D72B,Poodle,Brightest Dogs,Female,Yes,225,159.8788457
96,D0FF51,Poodle,Brightest Dogs,Female,Yes,226,144.3922462
97,8DDDA3,Poodle,Brightest Dogs,Male,Yes,189,127.2188263
98,12522A,Poodle,Brightest Dogs,Male,No,213,0
99,A4A142,Poodle,Brightest Dogs,Female,Yes,207,145.590505
100,D677C8,Poodle,Brightest Dogs,Female,Yes,166,111.4378728
101,C6EC50,Poodle,Brightest Dogs,Male,No,225,0
102,EF39B4,Poodle,Brightest Dogs,Female,No,191,0
103,DB524D,Poodle,Brightest Dogs,Male,Yes,229,140.6711961
104,802745,Poodle,Brightest Dogs,Male,No,189,0
105,8C4D8C,Poodle,Brightest Dogs,Male,Yes,189,130.1059421
106,2E951F,Poodle,Brightest Dogs,Female,No,168,0
107,C6DAB1,Poodle,Brightest Dogs,Male,Yes,200,127.6381593
108,3A2692,Poodle,Brightest Dogs,Female,No,172,0
109,D53421,Poodle,Brightest Dogs,Female,No,208,0
110,874048,Poodle,Brightest Dogs,Male,No,181,0
111,9B88DB,Poodle,Brightest Dogs,Female,Yes,206,125.869381
112,296347,Poodle,Brightest Dogs,Female,No,214,0
113,D662CD,Poodle,Brightest Dogs,Female,Yes,213,142.4460443
114,9CF2D9,Poodle,Brightest Dogs,Male,No,229,0
115,84E814,Poodle,Brightest Dogs,Female,No,230,0
116,8445F0,Poodle,Brightest Dogs,Female,No,190,0
117,DF34D3,Poodle,Brightest Dogs,Male,No,208,0
118,88F26A,Poodle,Brightest Dogs,Male,Yes,215,143.0189747
119,690DCE,Poodle,Brightest Dogs,Female,Yes,197,124.4251443
120,F94040,Poodle,Brightest Dogs,Female,Yes,173,114.6797862
121,763853,Poodle,Brightest Dogs,Female,Yes,203,136.4536737
122,F86CB2,Poodle,Brightest Dogs,Female,No,209,0
123,A37A5F,Poodle,Brightest Dogs,Female,No,187,0
124,C7BE80,Poodle,Brightest Dogs,Female,Yes,221,152.597673
125,C8D4CC,Poodle,Brightest Dogs,Male,Yes,194,133.5711383
126,EEBC0D,Poodle,Brightest Dogs,Male,No,233,0
127,8B3919,Poodle,Brightest Dogs,Male,No,223,0
128,B56DF9,Poodle,Brightest Dogs,Female,Yes,190,119.0291146
129,FA36D1,Poodle,Brightest Dogs,Male,No,213,0
130,0D016A,Poodle,Brightest Dogs,Male,Yes,197,140.0658872
131,5A523F,Poodle,Brightest Dogs,Female,Yes,196,124.9521169
132,E44DA1,Poodle,Brightest Dogs,Female,Yes,229,138.3349588
133,0CD4ED,German Shepherd,Brightest Dogs,Female,Yes,200,145.0804896
134,24934F,German Shepherd,Brightest Dogs,Male,No,193,0
135,D1CC92,German Shepherd,Brightest Dogs,Female,No,206,0
136,7DE7E1,German Shepherd,Brightest Dogs,Male,No,185,0
137,FB8E2A,German Shepherd,Brightest Dogs,Female,Yes,235,169.510948
138,9D3007,German Shepherd,Brightest Dogs,Female,Yes,215,144.8750532
139,F0A4B6,German Shepherd,Brightest Dogs,Male,No,198,0
140,FE2C71,German Shepherd,Brightest Dogs,Male,No,190,0
141,C80762,German Shepherd,Brightest Dogs,Female,Yes,229,156.8528185
142,70CF20,German Shepherd,Brightest Dogs,Female,Yes,187,115.5925408
143,49BEB6,German Shepherd,Brightest Dogs,Female,No,190,0
144,1CB4A2,German Shepherd,Brightest Dogs,Male,No,195,0
145,03944E,German Shepherd,Brightest Dogs,Male,Yes,207,149.5864186
146,A1BACE,German Shepherd,Brightest Dogs,Male,Yes,206,128.6504872
147,DEDE1A,German Shepherd,Brightest Dogs,Female,Yes,185,136.6239862
148,4F87AD,German Shepherd,Brightest Dogs,Male,No,232,0
149,E1EAC9,German Shepherd,Brightest Dogs,Female,No,156,0
150,A029BD,German Shepherd,Brightest Dogs,Female,No,196,0
151,20978,German Shepherd,Brightest Dogs,Male,Yes,204,137.6730482
152,09B21E,German Shepherd,Brightest Dogs,Female,Yes,213,150.8917507
153,1BD8D1,German Shepherd,Brightest Dogs,Male,No,207,0
154,91290C,German Shepherd,Brightest Dogs,Male,Yes,209,143.332836
155,E21DF6,German Shepherd,Brightest Dogs,Male,Yes,193,125.9135589
156,4B4286,German Shepherd,Brightest Dogs,Male,Yes,185,113.1488045
157,E4E74C,German Shepherd,Brightest Dogs,Female,Yes,206,137.7703152
158,6F09B4,German Shepherd,Brightest Dogs,Female,No,200,0
159,ED97D2,German Shepherd,Brightest Dogs,Male,Yes,208,149.0424023
160,707517,German Shepherd,Brightest Dogs,Female,Yes,181,111.8163938
161,737C11,German Shepherd,Brightest Dogs,Female,Yes,231,160.2757945
162,0796C3,German Shepherd,Brightest Dogs,Male,Yes,211,131.7205596
163,20E90F,German Shepherd,Brightest Dogs,Male,No,214,0
164,86970F,German Shepherd,Brightest Dogs,Male,No,200,0
165,186393,German Shepherd,Brightest Dogs,Male,Yes,199,139.6836055
166,A852FF,German Shepherd,Brightest Dogs,Male,No,195,0
167,97C474,German Shepherd,Brightest Dogs,Male,No,180,0
168,75F783,German Shepherd,Brightest Dogs,Female,Yes,206,134.7338255
169,4637AF,German Shepherd,Brightest Dogs,Male,Yes,218,147.0434095
170,1051C9,German Shepherd,Brightest Dogs,Male,No,193,0
171,8C7327,German Shepherd,Brightest Dogs,Male,No,210,0
172,0E8D6C,German Shepherd,Brightest Dogs,Male,Yes,219,158.5440967
173,29DAFD,German Shepherd,Brightest Dogs,Male,Yes,192,128.1171785
174,994B47,German Shepherd,Brightest Dogs,Male,Yes,194,119.3562815
175,D2E23A,German Shepherd,Brightest Dogs,Female,No,174,0
176,198634,German Shepherd,Brightest Dogs,Female,Yes,205,138.0232237
177,A8275F,German Shepherd,Brightest Dogs,Male,No,175,0
178,B73626,German Shepherd,Brightest Dogs,Male,Yes,202,139.8954954
179,A22CD4,German Shepherd,Brightest Dogs,Male,No,173,0
180,10A847,German Shepherd,Brightest Dogs,Female,Yes,201,145.643779
181,2F8DF2,German Shepherd,Brightest Dogs,Male,No,226,0
182,918A98,German Shepherd,Brightest Dogs,Female,Yes,194,129.4927497
183,75D6D2,German Shepherd,Brightest Dogs,Male,No,184,0
184,795492,German Shepherd,Brightest Dogs,Female,No,224,0
185,DDAE73,German Shepherd,Brightest Dogs,Female,No,172,0
186,E44E3B,German Shepherd,Brightest Dogs,Male,Yes,217,152.5786691
187,629897,German Shepherd,Brightest Dogs,Female,Yes,211,134.805798
188,57B1BB,German Shepherd,Brightest Dogs,Male,Yes,209,133.7571151
189,162657,German Shepherd,Brightest Dogs,Female,No,213,0
190,74FEA2,German Shepherd,Brightest Dogs,Male,Yes,208,136.0775739
191,CB9C21,German Shepherd,Brightest Dogs,Female,No,200,0
192,6B03EF,German Shepherd,Brightest Dogs,Male,Yes,183,119.4515933
193,EA4092,German Shepherd,Brightest Dogs,Female,No,199,0
194,54A714,German Shepherd,Brightest Dogs,Male,Yes,209,137.09651
195,BDF67A,German Shepherd,Brightest Dogs,Female,No,200,0
196,760698,German Shepherd,Brightest Dogs,Male,No,211,0
197,C09C56,German Shepherd,Brightest Dogs,Female,Yes,199,127.9115037
198,7DAB12,German Shepherd,Brightest Dogs,Female,No,164,0
199,6BC003,German Shepherd,Brightest Dogs,Male,Yes,198,130.1783405
200,58D9AF,German Shepherd,Brightest Dogs,Male,Yes,192,126.0298179
201,00D4DF,German Shepherd,Brightest Dogs,Male,Yes,214,152.8762737
202,8535AD,German Shepherd,Brightest Dogs,Male,No,185,0
203,D4B16B,Golden Retriever,Brightest Dogs,Female,No,180,0
204,040C01,Golden Retriever,Brightest Dogs,Male,No,209,0
205,8A1DE2,Golden Retriever,Brightest Dogs,Female,Yes,197,136.726325
206,7AF82E,Golden Retriever,Brightest Dogs,Female,Yes,206,148.7951222
207,AE6F48,Golden Retriever,Brightest Dogs,Female,Yes,182,141.6535714
208,B302E4,Golden Retriever,Brightest Dogs,Female,Yes,235,162.0433466
209,4214DD,Golden Retriever,Brightest Dogs,Female,Yes,207,145.1282149
210,5A2C47,Golden Retriever,Brightest Dogs,Male,Yes,189,129.7359624
211,EB6B11,Golden Retriever,Brightest Dogs,Female,Yes,194,128.4440375
212,D38003,Golden Retriever,Brightest Dogs,Female,Yes,221,138.8887372
213,0BEC4A,Golden Retriever,Brightest Dogs,Male,No,199,0
214,FC8CA0,Golden Retriever,Brightest Dogs,Male,Yes,204,137.0785257
215,57C809,Golden Retriever,Brightest Dogs,Female,No,193,0
216,D1B625,Golden Retriever,Brightest Dogs,Male,Yes,175,108.2190365
217,205A05,Golden Retriever,Brightest Dogs,Male,No,208,0
218,7FF3AF,Golden Retriever,Brightest Dogs,Female,No,195,0
219,BC04AA,Golden Retriever,Brightest Dogs,Female,Yes,219,141.9589262
220,8A9740,Golden Retriever,Brightest Dogs,Female,No,207,0
221,B19AA1,Golden Retriever,Brightest Dogs,Male,No,203,0
222,2F0392,Golden Retriever,Brightest Dogs,Male,Yes,217,150.7938683
223,97EE12,Golden Retriever,Brightest Dogs,Male,Yes,205,131.9031957
224,739ADF,Golden Retriever,Brightest Dogs,Female,Yes,189,130.6523108
225,F338A5,Golden Retriever,Brightest Dogs,Female,No,184,0
226,30DA38,Golden Retriever,Brightest Dogs,Male,Yes,182,127.3277523
227,A4DCBC,Golden Retriever,Brightest Dogs,Male,No,241,0
228,7F158A,Golden Retriever,Brightest Dogs,Female,No,195,0
229,DBA16E,Golden Retriever,Brightest Dogs,Female,Yes,188,131.5914325
230,B9277A,Golden Retriever,Brightest Dogs,Male,Yes,203,146.2377225
231,77EAE1,Golden Retriever,Brightest Dogs,Female,No,181,0
232,14628B,Golden Retriever,Brightest Dogs,Female,Yes,206,138.4084026
233,7AC5C7,Golden Retriever,Brightest Dogs,Female,Yes,216,133.0422401
234,7501C0,Golden Retriever,Brightest Dogs,Male,Yes,218,155.3375535
235,CCFA9C,Golden Retriever,Brightest Dogs,Female,No,200,0
236,EC9301,Golden Retriever,Brightest Dogs,Male,Yes,188,126.8541776
237,18921D,Golden Retriever,Brightest Dogs,Female,Yes,236,161.2613063
238,1F67BE,Golden Retriever,Brightest Dogs,Male,Yes,218,142.5464686
239,ED2961,Golden Retriever,Brightest Dogs,Male,No,203,0
240,B27B44,Golden Retriever,Brightest Dogs,Male,No,193,0
241,1F0903,Golden Retriever,Brightest Dogs,Male,No,196,0
242,BB7DFB,Golden Retriever,Brightest Dogs,Male,Yes,193,140.1626664
243,79414B,Golden Retriever,Brightest Dogs,Male,Yes,211,127.9556126
244,1BDE41,Golden Retriever,Brightest Dogs,Male,Yes,200,128.003738
245,7D88D2,Golden Retriever,Brightest Dogs,Male,No,189,0
246,F40235,Golden Retriever,Brightest Dogs,Female,Yes,187,118.0099657
247,7C7717,Golden Retriever,Brightest Dogs,Male,No,187,0
248,DF9CF6,Golden Retriever,Brightest Dogs,Female,Yes,192,141.6483412
249,F77F73,Golden Retriever,Brightest Dogs,Female,No,179,0
250,4604A2,Golden Retriever,Brightest Dogs,Male,No,213,0
251,7FFB0A,Golden Retriever,Brightest Dogs,Female,Yes,236,143.5012033
252,0DF162,Golden Retriever,Brightest Dogs,Female,Yes,219,153.9639741
253,B6358F,Golden Retriever,Brightest Dogs,Female,Yes,233,157.3712334
254,FD8B04,Golden Retriever,Brightest Dogs,Male,Yes,199,111.441368
255,44BED9,Golden Retriever,Brightest Dogs,Male,No,202,0
256,730CAA,Golden Retriever,Brightest Dogs,Male,No,193,0
257,29C06D,Doberman Pinscher,Brightest Dogs,Female,Yes,198,133.4273717
258,872045,Doberman Pinscher,Brightest Dogs,Female,Yes,222,137.0217412
259,FA2D2C,Doberman Pinscher,Brightest Dogs,Female,No,185,0
260,A9F441,Doberman Pinscher,Brightest Dogs,Male,Yes,204,133.3282325
261,99D2D8,Doberman Pinscher,Brightest Dogs,Male,No,220,0
262,7B0757,Doberman Pinscher,Brightest Dogs,Male,No,195,0
263,E57280,Doberman Pinscher,Brightest Dogs,Female,No,176,0
264,1695D3,Doberman Pinscher,Brightest Dogs,Male,Yes,227,163.4909951
265,4EFC41,Doberman Pinscher,Brightest Dogs,Female,No,225,0
266,BF5E54,Doberman Pinscher,Brightest Dogs,Male,Yes,219,167.0348612
267,E0CBD1,Doberman Pinscher,Brightest Dogs,Male,No,165,0
268,E7EBD4,Doberman Pinscher,Brightest Dogs,Male,No,215,0
269,61F634,Doberman Pinscher,Brightest Dogs,Female,Yes,185,122.7758271
270,B0375D,Doberman Pinscher,Brightest Dogs,Female,Yes,247,162.3768483
271,17EF82,Doberman Pinscher,Brightest Dogs,Female,Yes,210,147.2062916
272,C9ED4E,Doberman Pinscher,Brightest Dogs,Male,Yes,179,127.3904086
273,CFC58C,Doberman Pinscher,Brightest Dogs,Male,No,195,0
274,CFAA66,Doberman Pinscher,Brightest Dogs,Male,No,196,0
275,8C95F6,Doberman Pinscher,Brightest Dogs,Male,No,190,0
276,07A603,Doberman Pinscher,Brightest Dogs,Male,Yes,200,120.8726365
277,FE77DC,Doberman Pinscher,Brightest Dogs,Female,No,200,0
278,1AAC99,Doberman Pinscher,Brightest Dogs,Female,No,221,0
279,6.70E+47,Doberman Pinscher,Brightest Dogs,Female,Yes,215,145.1277535
280,8FDF3A,Doberman Pinscher,Brightest Dogs,Male,No,204,0
281,4AAD17,Doberman Pinscher,Brightest Dogs,Male,No,192,0
282,105CE6,Doberman Pinscher,Brightest Dogs,Female,No,187,0
283,C71709,Doberman Pinscher,Brightest Dogs,Male,Yes,226,157.431409
284,3CF580,Doberman Pinscher,Brightest Dogs,Male,No,206,0
285,7C71F4,Doberman Pinscher,Brightest Dogs,Female,Yes,203,150.2480665
286,C68B1C,Doberman Pinscher,Brightest Dogs,Male,No,162,0
287,BE4BFA,Doberman Pinscher,Brightest Dogs,Male,Yes,202,131.9648664
288,CDF2E3,Doberman Pinscher,Brightest Dogs,Female,Yes,193,115.7265571
289,E0E2C0,Doberman Pinscher,Brightest Dogs,Male,No,183,0
290,5B6C01,Doberman Pinscher,Brightest Dogs,Male,Yes,218,144.6803286
291,77C4AB,Doberman Pinscher,Brightest Dogs,Male,No,201,0
292,D6C2A9,Doberman Pinscher,Brightest Dogs,Male,No,200,0
293,231D70,Doberman Pinscher,Brightest Dogs,Male,Yes,208,151.6449695
294,FE11E9,Doberman Pinscher,Brightest Dogs,Male,Yes,204,134.589256
295,3AC776,Doberman Pinscher,Brightest Dogs,Female,No,186,0
296,7F7C34,Doberman Pinscher,Brightest Dogs,Female,No,229,0
297,70A9FD,Doberman Pinscher,Brightest Dogs,Female,Yes,192,120.3655806
298,3D7615,Doberman Pinscher,Brightest Dogs,Female,Yes,202,148.0368458
299,BD5FCE,Doberman Pinscher,Brightest Dogs,Female,Yes,230,141.0050014
300,F0CD2F,Doberman Pinscher,Brightest Dogs,Female,Yes,236,177.525787
301,82F38D,Doberman Pinscher,Brightest Dogs,Female,Yes,232,154.9822817
302,306A8C,Doberman Pinscher,Brightest Dogs,Male,Yes,200,132.5732334
303,D123F4,Doberman Pinscher,Brightest Dogs,Female,Yes,199,131.848844
304,BA373E,Doberman Pinscher,Brightest Dogs,Male,Yes,184,134.9191982
305,4A0D70,Doberman Pinscher,Brightest Dogs,Female,Yes,195,134.4936651
306,FAC660,Doberman Pinscher,Brightest Dogs,Male,Yes,218,139.2069475
307,13579E,Doberman Pinscher,Brightest Dogs,Female,Yes,204,132.9366049
308,7AF866,Doberman Pinscher,Brightest Dogs,Male,Yes,205,150.7331962
309,97E3D4,Doberman Pinscher,Brightest Dogs,Male,No,185,0
310,19D226,Doberman Pinscher,Brightest Dogs,Female,No,210,0
311,074DE7,Doberman Pinscher,Brightest Dogs,Female,Yes,225,165.559283
312,5D6148,Doberman Pinscher,Brightest Dogs,Female,No,209,0
313,E068CD,Shetland Sheepdog,Brightest Dogs,Female,No,196,0
314,CA10A0,Shetland Sheepdog,Brightest Dogs,Female,No,210,0
315,6A4F95,Shetland Sheepdog,Brightest Dogs,Female,No,194,0
316,23080B,Shetland Sheepdog,Brightest Dogs,Female,No,196,0
317,766FA5,Shetland Sheepdog,Brightest Dogs,Male,No,178,0
318,7.17E+03,Shetland Sheepdog,Brightest Dogs,Male,Yes,180,114.6790265
319,A31892,Shetland Sheepdog,Brightest Dogs,Male,No,190,0
320,D99AF0,Shetland Sheepdog,Brightest Dogs,Female,No,217,0
321,82A436,Shetland Sheepdog,Brightest Dogs,Female,No,192,0
322,51DED8,Shetland Sheepdog,Brightest Dogs,Male,Yes,192,131.2568727
323,C1E745,Shetland Sheepdog,Brightest Dogs,Male,Yes,186,131.3782675
324,0CB5DB,Shetland Sheepdog,Brightest Dogs,Female,No,202,0
325,E496A3,Shetland Sheepdog,Brightest Dogs,Male,No,204,0
326,CFA3B7,Shetland Sheepdog,Brightest Dogs,Male,No,211,0
327,29121E,Shetland Sheepdog,Brightest Dogs,Female,Yes,235,159.6757078
328,A67DA2,Shetland Sheepdog,Brightest Dogs,Female,Yes,214,149.9045092
329,703109,Shetland Sheepdog,Brightest Dogs,Female,Yes,202,117.8694577
330,E825E2,Shetland Sheepdog,Brightest Dogs,Male,No,195,0
331,3262BB,Shetland Sheepdog,Brightest Dogs,Female,No,209,0
332,6E7800,Shetland Sheepdog,Brightest Dogs,Male,No,229,0
333,91BB6E,Shetland Sheepdog,Brightest Dogs,Male,No,186,0
334,46754,Shetland Sheepdog,Brightest Dogs,Male,Yes,187,126.802318
335,1CAF89,Shetland Sheepdog,Brightest Dogs,Female,Yes,225,159.0599244
336,55B1FB,Shetland Sheepdog,Brightest Dogs,Female,Yes,202,137.9874865
337,2DA9C6,Shetland Sheepdog,Brightest Dogs,Male,Yes,203,137.6006163
338,F481E2,Shetland Sheepdog,Brightest Dogs,Male,No,219,0
339,FF6E5E,Shetland Sheepdog,Brightest Dogs,Male,No,210,0
340,E12958,Shetland Sheepdog,Brightest Dogs,Female,No,195,0
341,EFA9BF,Shetland Sheepdog,Brightest Dogs,Male,Yes,176,119.196212
342,9EA6B7,Shetland Sheepdog,Brightest Dogs,Female,No,210,0
343,ACAE34,Shetland Sheepdog,Brightest Dogs,Female,No,197,0
344,0CF8D0,Shetland Sheepdog,Brightest Dogs,Female,Yes,206,141.8302653
345,C9E178,Shetland Sheepdog,Brightest Dogs,Male,Yes,202,133.8330689
346,FB5C75,Shetland Sheepdog,Brightest Dogs,Male,Yes,197,116.0037909
347,0BDCBC,Shetland Sheepdog,Brightest Dogs,Female,No,200,0
348,16ABA4,Shetland Sheepdog,Brightest Dogs,Male,Yes,212,140.3398806
349,5E5003,Shetland Sheepdog,Brightest Dogs,Female,Yes,178,106.928482
350,4CE48D,Shetland Sheepdog,Brightest Dogs,Female,Yes,189,123.0050358
351,BD43D9,Shetland Sheepdog,Brightest Dogs,Female,No,196,0
352,A6C08B,Shetland Sheepdog,Brightest Dogs,Male,Yes,216,139.1412871
353,B2AF27,Shetland Sheepdog,Brightest Dogs,Male,No,198,0
354,761612,Shetland Sheepdog,Brightest Dogs,Female,No,212,0
355,A44714,Shetland Sheepdog,Brightest Dogs,Female,Yes,205,171.4079378
356,D43AD9,Shetland Sheepdog,Brightest Dogs,Female,Yes,193,125.5106762
357,744236,Shetland Sheepdog,Brightest Dogs,Male,Yes,173,113.2906625
358,43FCB2,Shetland Sheepdog,Brightest Dogs,Male,No,209,0
359,4533B2,Shetland Sheepdog,Brightest Dogs,Female,Yes,178,112.8472745
360,954E8E,Shetland Sheepdog,Brightest Dogs,Male,No,197,0
361,91D840,Shetland Sheepdog,Brightest Dogs,Male,No,204,0
362,759DBF,Shetland Sheepdog,Brightest Dogs,Male,No,186,0
363,9CCDD8,Shetland Sheepdog,Brightest Dogs,Male,Yes,201,128.8768601
364,8B89B1,Shetland Sheepdog,Brightest Dogs,Female,Yes,219,154.6143421
365,821AEB,Shetland Sheepdog,Brightest Dogs,Female,No,180,0
366,7FC412,Shetland Sheepdog,Brightest Dogs,Male,Yes,187,121.8462083
367,6E25FC,Shetland Sheepdog,Brightest Dogs,Male,Yes,195,145.513545
368,957448,Shetland Sheepdog,Brightest Dogs,Male,Yes,191,126.2446691
369,972F33,Shetland Sheepdog,Brightest Dogs,Female,Yes,217,137.5568937
370,8CE13F,Shetland Sheepdog,Brightest Dogs,Female,No,209,0
371,FC55C2,Shetland Sheepdog,Brightest Dogs,Male,No,183,0
372,F76E37,Shetland Sheepdog,Brightest Dogs,Male,No,182,0
373,495D61,Shetland Sheepdog,Brightest Dogs,Female,No,190,0
374,5DB53D,Shetland Sheepdog,Brightest Dogs,Female,No,188,0
375,0A85E0,Shetland Sheepdog,Brightest Dogs,Female,No,187,0
376,5BA007,Shetland Sheepdog,Brightest Dogs,Female,Yes,213,146.240175
377,ADBB40,Shetland Sheepdog,Brightest Dogs,Male,No,203,0
378,A5D486,Shetland Sheepdog,Brightest Dogs,Female,No,200,0
379,2E43FF,Shetland Sheepdog,Brightest Dogs,Female,Yes,200,130.7724141
380,75674,Shetland Sheepdog,Brightest Dogs,Female,No,197,0
381,F2E8F6,Shetland Sheepdog,Brightest Dogs,Male,Yes,199,156.5084799
382,13F8F6,Shetland Sheepdog,Brightest Dogs,Male,No,181,0
383,986094,Shetland Sheepdog,Brightest Dogs,Male,Yes,190,131.8521312
